blue_side,blue_synergy_score,red_synergy_score,synergy_diff,top_lane_advantage,mid_lane_advantage,bot_lane_advantage,top_elo_diff,jng_elo_diff,mid_elo_diff,bot_elo_diff,sup_elo_diff,avg_elo_diff,blue_team_avg_elo,red_team_avg_elo,blue_tanks,red_tanks,tanks_diff,blue_fighters,red_fighters,fighters_diff,blue_assassins,red_assassins,assassins_diff,blue_mages,red_mages,mages_diff,blue_marksmen,red_marksmen,marksmen_diff,blue_supports,red_supports,supports_diff,blue_engage_score,red_engage_score,engage_score_diff,blue_disengage_score,red_disengage_score,disengage_score_diff,blue_poke_score,red_poke_score,poke_score_diff,blue_teamfight_score,red_teamfight_score,teamfight_score_diff,blue_splitpush_score,red_splitpush_score,splitpush_score_diff,blue_pick_potential,red_pick_potential,pick_potential_diff,blue_early_game_score,red_early_game_score,early_game_score_diff,blue_mid_game_score,red_mid_game_score,mid_game_score_diff,blue_late_game_score,red_late_game_score,late_game_score_diff,blue_physical_damage,red_physical_damage,physical_damage_diff,blue_magic_damage,red_magic_damage,magic_damage_diff,blue_true_damage,red_true_damage,true_damage_diff,blue_cc_score,red_cc_score,cc_score_diff,blue_mobility_score,red_mobility_score,mobility_score_diff,blue_sustain_score,red_sustain_score,sustain_score_diff,blue_is_teamfight_comp,red_is_teamfight_comp,is_teamfight_comp_diff,blue_is_poke_comp,red_is_poke_comp,is_poke_comp_diff,blue_is_pick_comp,red_is_pick_comp,is_pick_comp_diff,blue_is_split_comp,red_is_split_comp,is_split_comp_diff,historical_matchup_winrate,historical_matchup_games,blue_recent_winrate,blue_recent_games,red_recent_winrate,red_recent_games,recent_form_diff,patch_number,gameid,blue_win
1,-0.14386209029066174,-0.06841289588754139,-0.07544919440312035,-0.10526315789473684,0.0,0,139.70367728749534,-143.05250971730834,16.617763389826223,-155.30697607407478,76.99435400110201,-13.008738222592001,1530.7179279130883,1543.7266661356803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.631578947368421,19,0.6,15,0.6428571428571429,14,-0.04285714285714293,14.23,2024 LoL KeSPA Cup_Finals_1_4,0
1,0.041235447981137624,0.008765816545279284,0.03246963143585834,0.30000000000000004,0.0,0,-139.70367728749534,143.05250971730834,-16.617763389826223,155.30697607407478,-76.99435400110201,13.008738222592001,1543.7266661356803,1530.7179279130883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368421052631579,19,0.6428571428571429,14,0.6,15,0.04285714285714293,14.23,2024 LoL KeSPA Cup_Finals_1_3,1
1,0.10974597648192355,0.0280042267598367,0.08174174972208685,0.1923076923076923,0.0,0,139.70367728749534,-143.05250971730834,16.617763389826223,-155.30697607407478,76.99435400110201,-13.008738222592001,1530.7179279130883,1543.7266661356803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.631578947368421,19,0.6,15,0.6428571428571429,14,-0.04285714285714293,14.23,2024 LoL KeSPA Cup_Finals_1_2,1
1,0.05405883126780744,-0.06212988348483099,0.11618871475263842,0.07446808510638303,0.2692307692307693,0,-139.70367728749534,143.05250971730834,-16.617763389826223,155.30697607407478,-76.99435400110201,13.008738222592001,1543.7266661356803,1530.7179279130883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368421052631579,19,0.6428571428571429,14,0.6,15,0.04285714285714293,14.23,2024 LoL KeSPA Cup_Finals_1_1,1
1,-0.015126858677343957,0.2336373479926703,-0.24876420667001425,-0.09999999999999998,-0.033333333333333326,0,170.9563196717104,196.04511828914178,16.773564529475152,27.615024992427834,18.773599026029842,86.03272530175695,1616.7506532148452,1530.7179279130883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,32,0.7777777777777778,9,0.6,15,0.1777777777777778,14.23,2024 LoL KeSPA Cup_Semifinals_2_3,0
1,-0.04970483005366724,0.005619327888557091,-0.05532415794222433,0.0,0.0,0,-170.9563196717104,-196.04511828914178,-16.773564529475152,-27.615024992427834,-18.773599026029842,-86.03272530175695,1530.7179279130883,1616.7506532148452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,32,0.6,15,0.7777777777777778,9,-0.1777777777777778,14.23,2024 LoL KeSPA Cup_Semifinals_2_2,1
1,0.028208781671189787,0.002558151723469626,0.02565062994772016,0.0,0.015151515151515138,0,170.9563196717104,196.04511828914178,16.773564529475152,27.615024992427834,18.773599026029842,86.03272530175695,1616.7506532148452,1530.7179279130883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,32,0.7777777777777778,9,0.6,15,0.1777777777777778,14.23,2024 LoL KeSPA Cup_Semifinals_2_1,1
1,0.006498977393786631,0.01420000101253966,-0.007701023618753029,0.11538461538461542,0.0,0,-119.12707984473855,135.71541063657492,-79.61565424635114,92.55936239792686,-166.67504586705695,-27.428601384729063,1543.7266661356803,1571.1552675204093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1875,16,0.6428571428571429,14,0.5833333333333334,12,0.059523809523809534,14.23,2024 LoL KeSPA Cup_Semifinals_1_3,1
1,-0.049134061074359615,0.03130309627335405,-0.08043715734771367,0.0,0.30000000000000004,0,119.12707984473855,-135.71541063657492,79.61565424635114,-92.55936239792686,166.67504586705695,27.428601384729063,1571.1552675204093,1543.7266661356803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8125,16,0.5833333333333334,12,0.6428571428571429,14,-0.059523809523809534,14.23,2024 LoL KeSPA Cup_Semifinals_1_2,1
1,-0.06548089591567847,-0.010797102686235838,-0.05468379322944264,0.0,0.0,0,-119.12707984473855,135.71541063657492,-79.61565424635114,92.55936239792686,-166.67504586705695,-27.428601384729063,1543.7266661356803,1571.1552675204093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1875,16,0.6428571428571429,14,0.5833333333333334,12,0.059523809523809534,14.23,2024 LoL KeSPA Cup_Semifinals_1_1,1
